timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1619513727252,617,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,2,2,https://localhost:5001/file/getfilestream,379,0,241
1619513726328,1544,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,2,2,https://localhost:5001/file/getfilestream,1302,0,1164
1619513727871,296,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,2,2,https://localhost:5001/file/getfilestream,18,0,0
1619513727874,317,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,2,2,https://localhost:5001/file/getfilestream,15,0,0
1619513728168,310,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,3,3,https://localhost:5001/file/getfilestream,7,0,0
1619513728192,295,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,3,3,https://localhost:5001/file/getfilestream,7,0,0
1619513728246,352,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,3,3,https://localhost:5001/file/getfilestream,49,0,44
1619513728478,284,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,3,3,https://localhost:5001/file/getfilestream,5,0,0
1619513728488,299,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,3,3,https://localhost:5001/file/getfilestream,6,0,0
1619513728599,266,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,3,3,https://localhost:5001/file/getfilestream,3,0,0
1619513728762,284,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,3,3,https://localhost:5001/file/getfilestream,3,0,0
1619513728787,274,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,3,3,https://localhost:5001/file/getfilestream,4,0,0
1619513728865,279,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,3,3,https://localhost:5001/file/getfilestream,3,0,0
1619513729062,332,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,9,0,0
1619513729046,360,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,4,0,0
1619513729145,338,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,5,0,0
1619513729250,438,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,90,0,84
1619513729395,295,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,4,0,0
1619513729407,344,GetFileStream,200,OK,Scenario 1 1-2,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,3,0,0
1619513729484,319,GetFileStream,200,OK,Scenario 1 1-3,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,3,0,0
1619513729689,298,GetFileStream,200,OK,Scenario 1 1-4,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,4,0,0
1619513729691,324,GetFileStream,200,OK,Scenario 1 1-1,text,true,,1231549,360,4,4,https://localhost:5001/file/getfilestream,7,0,0
